input_g1 input_g2 meas_g1_mod meas_g1_mod_err meas_g1_mod_err_err meas_g2_mod meas_g2_mod_err meas_g2_mod_err_err n_pairs mag
-0.06842105263157895 -0.065 -0.0711437770347222 0.0004299828383587965 8.66659638271832e-06 0.00045458236856730984 0.0011124318669177215 1.9508090123186678e-05 633376.0 21.5
-0.06842105263157895 -0.065 -0.06939071868920524 0.0003137857082756469 5.635276555962623e-06 0.00045458236856730984 0.0011467996279530934 2.4881481416544962e-05 633376.0 22.5
-0.06842105263157895 -0.065 -0.06949437672240917 0.0002376646390307489 3.964817345024254e-06 0.00045458236856730984 0.0010963783142006662 2.348359909124343e-05 633376.0 23.5
-0.06842105263157895 -0.065 -0.06628430588337199 0.00023010819617788882 3.15553757634496e-06 0.00045458236856730984 0.001160527160886994 3.0080957690818636e-05 633376.0 24.5
-0.06842105263157895 -0.065 -0.0679650651976912 0.0001476582666578147 3.044167245011964e-06 0.00045458236856730984 0.0011256498267874233 1.750081111621726e-05 633376.0 24.5
-0.05789473684210527 -0.05500000000000001 -0.05993929482024117 0.0003685266029302234 7.545113463617991e-06 0.0009426870144797038 0.0009912785256110728 2.3942576374874707e-05 633260.0 21.5
-0.05789473684210527 -0.05500000000000001 -0.05976000798564619 0.0002864566221028189 5.391410297023359e-06 0.0009426870144797038 0.0010243416438631817 2.4841157369404795e-05 633260.0 22.5
-0.05789473684210527 -0.05500000000000001 -0.05874374765535751 0.00022895401380591089 5.298010938564682e-06 0.0009426870144797038 0.0010387676759158195 3.249810681265808e-05 633260.0 23.5
-0.05789473684210527 -0.05500000000000001 -0.05624585435643237 0.00022569801617408473 3.4397703300993902e-06 0.0009426870144797038 0.0010354264751450727 2.8599384297379904e-05 633260.0 24.5
-0.05789473684210527 -0.05500000000000001 -0.0576868196117238 0.0001400129996474355 2.680873112081734e-06 0.0009426870144797038 0.0010280564881823518 2.685834295322495e-05 633260.0 24.5
-0.04736842105263159 -0.045000000000000005 -0.04880475362601085 0.00035343855388270004 5.420988517852852e-06 -0.003954448345397224 0.003011906970494509 0.00010336275019667662 632836.0 21.5
-0.04736842105263159 -0.045000000000000005 -0.048703194965764675 0.00027401310876472475 4.594583754123262e-06 -0.003954448345397224 0.00312884072417162 4.323600022568018e-05 632836.0 22.5
-0.04736842105263159 -0.045000000000000005 -0.047983719629091856 0.00021316618783837426 3.1175600265804442e-06 -0.003954448345397224 0.0031607025401507033 6.930323145175756e-05 632836.0 23.5
-0.04736842105263159 -0.045000000000000005 -0.04578437523870113 0.00021782699374289032 3.7299412194778924e-06 -0.003954448345397224 0.0031044433720945224 7.119104782441067e-05 632836.0 24.5
-0.04736842105263159 -0.045000000000000005 -0.04702309179015075 0.00014172833240796341 3.662655255174624e-06 -0.003954448345397224 0.0030668184244334274 6.592644406465525e-05 632836.0 24.5
-0.0368421052631579 -0.03500000000000001 -0.037389281902871524 0.0003768563084535011 9.264426157811039e-06 0.0006997445096543005 0.001346934133410309 2.631228792447227e-05 633232.0 21.5
-0.0368421052631579 -0.03500000000000001 -0.03724678275235245 0.0002775311942169955 7.476223060558275e-06 0.0006997445096543005 0.0013783020347885129 3.282385902012044e-05 633232.0 22.5
-0.0368421052631579 -0.03500000000000001 -0.037194093861992225 0.00022378865160920663 6.183567088756874e-06 0.0006997445096543005 0.0013296510560128147 1.987215130239192e-05 633232.0 23.5
-0.0368421052631579 -0.03500000000000001 -0.03551057384967051 0.00021473018400748023 4.639496200238109e-06 0.0006997445096543005 0.0013081744403077712 2.5406044037077113e-05 633232.0 24.5
-0.0368421052631579 -0.03500000000000001 -0.036375950919786834 0.00013525707140829468 2.717037058098451e-06 0.0006997445096543005 0.001336282236210934 2.6506351878837395e-05 633232.0 24.5
-0.026315789473684223 -0.024999999999999998 -0.027226565325425937 0.000314859394610348 8.594237619571666e-06 -0.007070789432602461 0.012112160526366917 0.000313199541672378 632876.0 21.5
-0.026315789473684223 -0.024999999999999998 -0.026893056071452544 0.00026286510894307704 6.231029800601312e-06 -0.007070789432602461 0.012089104532165431 0.00032831478299175896 632876.0 22.5
-0.026315789473684223 -0.024999999999999998 -0.026611220496608357 0.00021235608594368665 3.5032685960056505e-06 -0.007070789432602461 0.012578085499597276 0.000384620904076521 632876.0 23.5
-0.026315789473684223 -0.024999999999999998 -0.025109053524520225 0.0002133231043865624 4.858388903651528e-06 -0.007070789432602461 0.012314602571238998 0.00024487942718790195 632876.0 24.5
-0.026315789473684223 -0.024999999999999998 -0.02592921757531865 0.00013476982226145898 2.377551115037651e-06 -0.007070789432602461 0.012080294387937247 0.0003178287302311807 632876.0 24.5
-0.015789473684210534 -0.015000000000000003 -0.01544529501541469 0.00030877731016653687 4.376574478874392e-06 0.0017593662486473096 0.0016632700384169071 4.4528409796014916e-05 632680.0 21.5
-0.015789473684210534 -0.015000000000000003 -0.015921249520030777 0.0002686388981035985 5.178813480004034e-06 0.0017593662486473096 0.0016293155231551153 6.0599002990237e-05 632680.0 22.5
-0.015789473684210534 -0.015000000000000003 -0.015250595301710048 0.00020790589971402554 4.169967241765605e-06 0.0017593662486473096 0.0015485620453673306 2.5288147693549427e-05 632680.0 23.5
-0.015789473684210534 -0.015000000000000003 -0.014851755551970365 0.00021488140853919238 3.9450931742597585e-06 0.0017593662486473096 0.0017096857637230803 4.113665155635124e-05 632680.0 24.5
-0.015789473684210534 -0.015000000000000003 -0.015149960928785712 0.00013314251673540622 2.115485424329767e-06 0.0017593662486473096 0.001650639334814359 5.6469742548098995e-05 632680.0 24.5
-0.005263157894736845 -0.005000000000000009 -0.0048397553298805945 0.00026878897452651824 5.325020587068318e-06 0.001689277709129292 0.0014902932380493007 2.9667325708017637e-05 632500.0 21.5
-0.005263157894736845 -0.005000000000000009 -0.004573603042809682 0.00024924994784038246 6.440324297692071e-06 0.001689277709129292 0.001462724495253015 2.920736145612107e-05 632500.0 22.5
-0.005263157894736845 -0.005000000000000009 -0.004456342701729545 0.00021294253048590952 6.4353619955677185e-06 0.001689277709129292 0.0014586456795449253 2.5209989487631383e-05 632500.0 23.5
-0.005263157894736845 -0.005000000000000009 -0.004435720354742144 0.0002152007179646236 4.094051285135642e-06 0.001689277709129292 0.00151416326061021 2.4304407026935346e-05 632500.0 24.5
